"temp","humidity","spo2","pulserate","ECG"
25,21,17,13,9
25,23,18,13,8
26,5,-17,-39,-61
25,4,-28,-60,-92
26,3,-16,-35,-54
26,2,-21,-44,-67
27,1,-28,-57,-86
25,-6.428571429,-41,-75.57142857,-110.1428571
25,-10.14285714,-48.57142857,-87,-125.4285714
25,-13.85714286,-56.14285714,-98.42857143,-140.7142857
26,-17.57142857,-63.71428571,-109.8571429,-156
25,-21.28571429,-71.28571429,-121.2857143,-171.2857143
26,-25,-78.85714286,-132.7142857,-186.5714286
26,-28.71428571,-86.42857143,-144.1428571,-201.8571429
27,-32.42857143,-94,-155.5714286,-217.1428571
25,-36.14285714,-101.5714286,-167,-232.4285714
25,-39.85714286,-109.1428571,-178.4285714,-247.7142857
25,-43.57142857,-116.7142857,-189.8571429,-263
26,-47.28571429,-124.2857143,-201.2857143,-278.2857143
25,-51,-131.8571429,-212.7142857,-293.5714286
26,-54.71428571,-139.4285714,-224.1428571,-308.8571429
26,-58.42857143,-147,-235.5714286,-324.1428571
27,-62.14285714,-154.5714286,-247,-339.4285714
25,-65.85714286,-162.1428571,-258.4285714,-354.7142857
25,-69.57142857,-169.7142857,-269.8571429,-370
25,-73.28571429,-177.2857143,-281.2857143,-385.2857143
26,-77,-184.8571429,-292.7142857,-400.5714286
25,-80.71428571,-192.4285714,-304.1428571,-415.8571429
26,-84.42857143,-200,-315.5714286,-431.1428571
26,-88.14285714,-207.5714286,-327,-446.4285714
27,-91.85714286,-215.1428571,-338.4285714,-461.7142857
25,-95.57142857,-222.7142857,-349.8571429,-477
25,-99.28571429,-230.2857143,-361.2857143,-492.2857143
25,-103,-237.8571429,-372.7142857,-507.5714286
26,-106.7142857,-245.4285714,-384.1428571,-522.8571429
25,-110.4285714,-253,-395.5714286,-538.1428571
26,-114.1428571,-260.5714286,-407,-553.4285714
26,-117.8571429,-268.1428571,-418.4285714,-568.7142857
27,-121.5714286,-275.7142857,-429.8571429,-584
25,-125.2857143,-283.2857143,-441.2857143,-599.2857143
25,-129,-290.8571429,-452.7142857,-614.5714286
25,-132.7142857,-298.4285714,-464.1428571,-629.8571429
26,-136.4285714,-306,-475.5714286,-645.1428571
25,-140.1428571,-313.5714286,-487,-660.4285714
26,-143.8571429,-321.1428571,-498.4285714,-675.7142857
26,-147.5714286,-328.7142857,-509.8571429,-691
27,-151.2857143,-336.2857143,-521.2857143,-706.2857143
25,-1.729532278,0.369265379,0.236372698,0.849865379
25,-1.249302528,0.750044183,1.188376327,1.388126772
25,0.141951377,-0.515709674,-0.870500158,-0.080587438
26,-0.520653523,1.18707589,0.27678416,-0.526753138
25,-0.097784544,-0.975464886,0.401564588,-0.713955468
26,0.31626863,0.50525543,1.275345189,0.089831453
26,0.24566758,-0.316833065,1.353193862,0.556999809
27,-0.720444168,0.320700171,-0.528078264,-1.383698433
25,-0.276550655,0.256825793,0.893211914,-0.826602584
25,0.068462317,0.224545019,0.661719665,0.572130484
25,-1.545796897,-0.532425561,0.568635831,1.128633643
26,-1.25936932,0.260681166,2.221162013,1.150548414
25,1.279640361,-0.122567988,-0.517367928,-0.217941037
26,-0.273150507,-0.984729137,-1.919846237,0.111861351
26,-2.795823486,-0.620121164,-1.279266031,-0.674358516
27,2.287337039,-1.241424425,0.329242181,0.713263727
25,-0.463622896,0.677560446,0.337156634,1.210908623
25,-0.546080277,0.287764045,0.117173386,-0.38829398
25,-0.103754633,-0.427033735,-1.498596324,0.579714488
26,-1.784112985,0.055154003,0.61971918,-0.621731542
25,-1.704285341,-0.110884728,-1.06587033,2.015405504
26,-0.411062744,-0.068058437,0.551896884,-0.459813821
26,-0.405020385,-1.436345175,1.092663547,-1.073667192
27,0.011171374,0.004154698,0.111733509,-0.00035842
25,-1.086711628,0.74590685,0.234996558,-1.028016966
25,-0.008233198,0.85674243,-0.853285619,2.261278019
25,-0.545344167,0.917596703,-0.255526107,-0.574929623
26,-0.248706008,0.154646281,0.081477567,0.309245941
25,-1.065966383,-0.682027549,-1.440838504,1.399566445
26,0.044959928,-0.173205587,-0.879947083,-1.426320898
26,0.565408252,0.18166892,0.935903843,-0.258165808
27,1.299843966,2.133477025,0.254353364,-0.743042198
25,1.309614156,-1.020368679,0.707777892,1.769709608
25,0.369401081,-1.488007539,-2.593304626,-0.568937972
25,-0.271257582,0.282012214,0.957170745,-1.466507689
26,-1.646445572,-0.075176732,-0.371992106,-0.583668217
25,-1.422565224,-1.046518141,-0.315516271,-0.376453421
26,-0.357299112,-0.500009921,-1.33348216,-1.263932756
26,-1.400854981,-0.503883337,-1.40944371,0.292445776
27,0.106003265,0.420778996,1.780542371,0.010392922
25,0.451589392,-0.090381311,0.867718737,1.194310461
25,-0.553890291,-0.42103231,-0.247737916,0.875701838
25,0.604644402,-0.03453971,-1.255972663,0.025224001
26,0.266178923,0.141061533,1.255403346,0.205080442
25,0.761144944,-0.266730626,-0.380061586,0.845891206
26,-0.742081006,0.223086401,0.063416806,-1.749624875
26,-1.121493215,2.839205543,0.921400279,-1.405022173
27,1.083007324,0.76242296,-2.134481878,-0.194555928
25,0.789624607,-0.208866456,0.073191146,-0.323669473
25,-2.454114207,1.056286258,-1.638586898,-0.997721619
25,-0.776320689,-0.336877549,1.006393221,0.728697509
26,0.709595686,0.360434637,1.275477288,-0.478370282
25,1.5503138,-0.793713935,-1.200925302,-0.380172744
26,1.802492284,0.243229256,-0.962729653,-0.494054653
26,-0.442608335,0.934635593,0.614748502,-0.215868155
27,0.438610634,-0.619767875,1.60942579,0.865179639
25,-1.048649413,-0.932306865,0.032083401,-1.00178568
25,0.476415747,-0.201884563,-2.452781757,-0.688734057
25,-1.227654055,0.319734237,-0.308883512,-0.116526198
26,1.574550786,0.367174822,-0.65199448,0.437732726
25,0.230151435,-0.620859891,0.060804828,0.622922642
26,1.023002541,-0.802562744,1.881490395,-0.681952286
26,-0.40126023,0.522350229,0.399542104,-0.769464947
27,3.155915221,0.200906901,0.677664582,-2.036981781
25,0.885306531,-1.085613479,-0.393345021,-1.006627617
25,0.29512006,0.185480601,0.133624411,0.338676174
25,-2.567589167,-0.194526021,0.003084109,0.255948835
26,0.232032403,-0.365086574,0.438193301,-1.519792426
25,0.505882746,1.712735983,0.984807989,-0.510806413
26,1.205176585,-1.98933704,0.171253457,0.792540622
26,-0.795901799,0.631461318,0.56406966,-0.735451296
27,-0.900464783,0.24530676,-0.438966513,0.927915058
25,0.03581666,-1.161377346,-2.422359252,0.651766941
25,-0.657439126,-1.748785225,1.035984415,1.466380859
25,-1.588653788,-0.384572257,-0.017195881,-0.184708538
26,0.503883795,-2.031912648,-0.198553018,1.068546114
25,-0.82231565,-0.075478066,1.281144479,-1.307916261
26,-2.829008393,1.930234849,0.463731487,-1.41276431
26,-1.183826519,0.001683252,0.840031289,-1.114203568
